,,Dia 1,,Dia 2,,Dia 3,
Número de Aluno,Total Pontos,Número de Aluno,Pontos,Número de Aluno,Pontos,Número de Aluno,Pontos
62952,151,62952,151,62952,0,62952,0
70582,0,70582,0,70582,0,70582,0
72991,0,72991,0,72991,0,72991,0
68596,0,68596,0,68596,0,68596,0
62178,0,62178,0,62178,0,62178,0
68228,0,68228,0,68228,0,68228,0
74066,0,74066,0,74066,0,74066,0
2013140892,0,2013140892,0,2013140892,0,2013140892,0
70713,0,70713,0,70713,0,70713,0
62118,151,62118,151,62118,0,62118,0
71342,0,71342,0,71342,0,71342,0
74116,0,74116,0,74116,0,74116,0
73575,0,73575,0,73575,0,73575,0
73991,0,73991,0,73991,0,73991,0
71337,0,71337,0,71337,0,71337,0
66611,0,66611,0,66611,0,66611,0
70540,0,70540,0,70540,0,70540,0
42817,0,42817,0,42817,0,42817,0
67504,0,67504,0,67504,0,67504,0
73329,0,73329,0,73329,0,73329,0
66551,0,66551,0,66551,0,66551,0
66472,0,66472,0,66472,0,66472,0
74072,0,74072,0,74072,0,74072,0
74575,0,74575,0,74575,0,74575,0
74016,0,74016,0,74016,0,74016,0
68222,0,68222,0,68222,0,68222,0
70641,0,70641,0,70641,0,70641,0
70569,0,70569,0,70569,0,70569,0
70633,0,70633,0,70633,0,70633,0
68886,0,68886,0,68886,0,68886,0
65631,0,65631,0,65631,0,65631,0
70587,0,70587,0,70587,0,70587,0
66666,0,66666,0,66666,0,66666,0
73197,0,73197,0,73197,0,73197,0
70671,0,70671,0,70671,0,70671,0
66576,0,66576,0,66576,0,66576,0
68765,200001866,68765,200001656,68765,210,68765,0
70611,0,70611,0,70611,0,70611,0
70677,0,70677,0,70677,0,70677,0
68795,0,68795,0,68795,0,68795,0
70815,0,70815,0,70815,0,70815,0
70578,0,70578,0,70578,0,70578,0
71096,170,71096,170,71096,0,71096,0
64200,160,64200,160,64200,0,64200,0
66615,0,66615,0,66615,0,66615,0
68128,0,68128,0,68128,0,68128,0
66613,0,66613,0,66613,0,66613,0
74044,0,74044,0,74044,0,74044,0
68737,230,68737,230,68737,0,68737,0
68603,0,68603,0,68603,0,68603,0
68702,0,68702,0,68702,0,68702,0
72743,0,72743,0,72743,0,72743,0
68887,0,68887,0,68887,0,68887,0
73443,0,73443,0,73443,0,73443,0
68536,0,68536,0,68536,0,68536,0
66690,0,66690,0,66690,0,66690,0
68689,0,68689,0,68689,0,68689,0
22067,0,22067,0,22067,0,22067,0
68571,0,68571,0,68571,0,68571,0
73947,0,73947,0,73947,0,73947,0
70531,0,70531,0,70531,0,70531,0
70407,0,70407,0,70407,0,70407,0
2018288464,0,2018288464,0,2018288464,0,2018288464,0
66519,0,66519,0,66519,0,66519,0
70580,0,70580,0,70580,0,70580,0
68719,0,68719,0,68719,0,68719,0
201806389,0,201806389,0,201806389,0,201806389,0
70794,0,70794,0,70794,0,70794,0
62157,0,62157,0,62157,0,62157,0
70579,0,70579,0,70579,0,70579,0
71826,0,71826,0,71826,0,71826,0
66652,0,66652,0,66652,0,66652,0
68652,0,68652,0,68652,0,68652,0
70533,0,70533,0,70533,0,70533,0
66550,0,66550,0,66550,0,66550,0
74054,0,74054,0,74054,0,74054,0
66850,0,66850,0,66850,0,66850,0
2019227468,0,2019227468,0,2019227468,0,2019227468,0
67593,0,67593,0,67593,0,67593,0
73143,0,73143,0,73143,0,73143,0
70846,0,70846,0,70846,0,70846,0
74139,0,74139,0,74139,0,74139,0
74392,0,74392,0,74392,0,74392,0
73239,0,73239,0,73239,0,73239,0
73072,0,73072,0,73072,0,73072,0
69330,0,69330,0,69330,0,69330,0
68686,0,68686,0,68686,0,68686,0
73730,0,73730,0,73730,0,73730,0
50560,0,50560,0,50560,0,50560,0
